,Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,"On the go, where do you typically purchase coffee?",What is your favorite coffee drink?,Do you usually add anything to your coffee?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
15,Zd694B,<18 years old,3,"At home, At the office, At a cafe","Pour over, Espresso, Instant coffee",Don't purchase on the go,Pourover,"No - just black, Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Bright,Medium,Light,Full caffeine,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Coffee A,Coffee D,Coffee B,I primarily work from home,>$100,,,,,,,,,Other,Bachelor's degree,Other,Employed full-time,More than 3,Democrat
17,QA5JYA,25-34 years old,1,"At home, At the office, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee)","National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",Regular drip coffee,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Half and half,"Granulated Sugar, Brown Sugar",Sweet,Somewhat strong,Medium,Full caffeine,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Coffee A,Coffee A,Coffee B,I primarily work from home,$40-$60,,,,,,,,,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
34,ylqbBg,45-54 years old,2,"At home, At the office, At a cafe, On the go","Pour over, French press, Espresso","Local cafe, Specialty coffee shop",Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Floral,Medium,Light,Full caffeine,8.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,3.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,Yes,Yes,$4-$6,$8-$10,No,$500-$1000,Yes,Male,Master's degree,Other,Employed full-time,2,No affiliation
41,YZzBdN,25-34 years old,2,"At home, At the office","Pour over, Espresso",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Floral,Medium,Light,Full caffeine,10.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$2-$4,More than $20,Yes,$50-$100,Yes,Male,Master's degree,Asian/Pacific Islander,Unemployed,0,Independent
42,VZ17Z6,35-44 years old,1,"At the office, At home",Pour over,Don't purchase on the go,Iced coffee,No - just black,Don't add diary,Don't add swetener,Fruity,Very strong,Light,Full caffeine,6.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,It tastes good,Yes,Yes,$10-$15,More than $20,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,3,No affiliation
43,RzBeZj,45-54 years old,More than 4,At home,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$15-$20,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,3,No affiliation
46,WApbkQ,35-44 years old,2,"At a cafe, At home","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",Don't purchase on the go,Cappuccino,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Floral,Somewhat strong,Blonde,Full caffeine,4.0,3.0,4.0,5.0,2.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$60-$80,"I need the ritual, It tastes good",Yes,Yes,$6-$8,$4-$6,Yes,"More than $1,000",Yes,Male,Less than high school,Black/African American,Unemployed,2,Independent
47,0Ej0WA,45-54 years old,2,At home,"Coffee extract (e.g. Cometeer), Pour over",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat light,Light,Full caffeine,8.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,More than 3,Republican
48,9dJYlQ,35-44 years old,2,"At home, At the office",Other,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Nutty,Somewhat strong,Medium,Full caffeine,2.0,1.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, I need the caffeine",Yes,No,$4-$6,$6-$8,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
51,bl41Zg,45-54 years old,Less than 1,At a cafe,,Don't purchase on the go,Iced coffee,Sugar or sweetener,Don't add diary,Granulated Sugar,Sweet,Somewhat strong,Medium,Half caff,2.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0,Coffee C,Coffee A,Coffee D,I primarily work in person,<$20,"It tastes good, I need the caffeine",Yes,No,$8-$10,$8-$10,No,$20-$50,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Democrat
